episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
103, -2502.454425096512, 2, 39.40280363301281, 79, 7305,                                         7305, 36.96074676513672, 115.79886627197266
104, -2496.502949476242, 2, 26.98386847699294, 54, 7359,                                         7359, 30.90089988708496, 117.35913848876953
105, 2155.3683715462685, 1, 28.942624593997607, 58, 7417,                                         7417, 32.054466247558594, 118.10369110107422
106, 2314.015993889421, 1, 43.840537881013006, 88, 7505,                                         7505, 33.57108688354492, 117.0556640625
107, -2946.2438218593597, 2, 19.956974526983686, 40, 7545,                                         7545, 29.391225814819336, 117.90626525878906
108, 2296.2311404943466, 1, 22.93468079098966, 46, 7591,                                         7591, 32.16535949707031, 118.37230682373047
109, 2333.5794784724712, 1, 23.43153298998368, 47, 7638,                                         7638, 34.493377685546875, 118.70755767822266
110, -1210.6173636615276, 4, 80.27988970698789, 161, 7799,                                         7799, 30.405031204223633, 117.60302734375
111, 2381.1123015880585, 1, 17.943613287003245, 36, 7835,                                         7835, 37.68510437011719, 116.99016571044922
112, 2383.4597489237785, 1, 14.967436195991468, 30, 7865,                                         7865, 24.956960678100586, 115.95842742919922
113, 2381.48080393672, 1, 14.978079729015008, 30, 7895,                                         7895, 33.65541076660156, 116.5627670288086
114, 2353.6290605068207, 1, 17.938278506015195, 36, 7931,                                         7931, 29.79932403564453, 118.98429107666016
115, 2074.473662495613, 1, 33.42683353301254, 67, 7998,                                         7998, 32.536376953125, 120.04327392578125
116, 1161.4178059697151, 1, 67.85047889800626, 136, 8134,                                         8134, 36.48691940307617, 118.98643493652344
117, -1324.9264478683472, 5, 14.933316757000284, 30, 8164,                                         8164, 38.1014289855957, 120.83675384521484
118, -2357.9577147960663, 2, 21.190912279998884, 42, 8206,                                         8206, 26.53400230407715, 119.70162200927734
119, -273.53488421440125, 5, 17.55928151201806, 35, 8241,                                         8241, 29.669164657592773, 119.15033721923828
120, 1827.4967204332352, 1, 60.776535380020505, 122, 8363,                                         8363, 35.993560791015625, 121.13195037841797
121, 1600.9913411140442, 1, 42.765886448003585, 86, 8449,                                         8449, 34.627601623535156, 120.83894348144531
122, 2234.057277828455, 1, 16.439004801999545, 33, 8482,                                         8482, 32.69935989379883, 122.00060272216797
123, 1856.690086454153, 1, 49.900933730008546, 100, 8582,                                         8582, 33.5469970703125, 120.8794937133789
124, -2621.9118681550026, 2, 31.96855680301087, 64, 8646,                                         8646, 36.20656967163086, 121.4896469116211
125, 2306.8624870479107, 1, 22.9930523080111, 46, 8692,                                         8692, 36.162445068359375, 122.14501953125
126, -2785.8500366210938, 2, 15.98876427099458, 32, 8724,                                         8724, 34.617122650146484, 121.90463256835938
127, 2364.785331606865, 1, 14.945652976981364, 30, 8754,                                         8754, 35.10787582397461, 122.25680541992188
128, 2285.122527524829, 1, 32.448962749011116, 65, 8819,                                         8819, 37.72298812866211, 122.30641174316406
