episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
59, 2423.5743849650025, 1, 17.211785832012538, 35, 4924,                                         4924, 28.182880401611328, 79.96263885498047
60, -2544.4163689613342, 2, 15.283173034957144, 31, 4955,                                         4955, 32.186492919921875, 77.74776458740234
61, -2410.061776995659, 2, 20.63676702597877, 42, 4997,                                         4997, 31.54892921447754, 78.87593078613281
62, -2534.2858134508133, 2, 22.621573241020087, 46, 5043,                                         5043, 29.20332145690918, 78.44952392578125
63, 2203.295102328062, 1, 25.07674488297198, 51, 5094,                                         5094, 29.50182342529297, 78.69941711425781
64, 2335.2999108126387, 1, 14.758813123044092, 30, 5124,                                         5124, 26.0545654296875, 78.36990356445312
65, -4894.538947463036, 2, 59.48514612397412, 121, 5245,                                         5245, 31.98072624206543, 80.54053497314453
66, 1526.5632675886154, 1, 69.29301700502401, 141, 5386,                                         5386, 31.661489486694336, 81.26039123535156
67, -2608.686062335968, 2, 14.744424253993202, 30, 5416,                                         5416, 43.36900329589844, 82.65315246582031
68, 2446.915447026491, 1, 15.293211027048528, 31, 5447,                                         5447, 41.00764465332031, 85.04974365234375
69, 1634.4883669801056, 1, 56.65496927499771, 115, 5562,                                         5562, 31.377025604248047, 84.07347869873047
70, -1052.7780439853668, 5, 14.753579935000744, 30, 5592,                                         5592, 22.45980453491211, 81.44417572021484
71, 1883.9818525910378, 1, 63.515224659990054, 129, 5721,                                         5721, 28.680822372436523, 85.53543853759766
72, -3119.729887008667, 2, 29.01363105204655, 59, 5780,                                         5780, 30.544673919677734, 86.2258071899414
73, 2328.943739950657, 1, 23.601459439028986, 48, 5828,                                         5828, 25.84870719909668, 86.17892456054688
74, -3108.908511519432, 2, 43.263235785998404, 88, 5916,                                         5916, 32.34798812866211, 86.11995697021484
75, 2172.8710597753525, 1, 21.24119236296974, 43, 5959,                                         5959, 29.59484100341797, 86.34866333007812
76, -1271.715507864952, 4, 80.11621580895735, 163, 6122,                                         6122, 31.91892433166504, 87.84298706054688
77, -2514.662235021591, 2, 17.710003033978865, 36, 6158,                                         6158, 38.66747283935547, 88.64315795898438
78, -3228.1357246637344, 2, 44.82536113500828, 91, 6249,                                         6249, 36.59550857543945, 88.10359954833984
79, 2211.642970778048, 1, 34.42111981002381, 70, 6319,                                         6319, 32.07012176513672, 89.28755950927734
80, -1109.4317922592163, 5, 16.32008441799553, 33, 6352,                                         6352, 37.23539733886719, 89.31836700439453
81, 2401.6527102142572, 1, 20.65268014598405, 42, 6394,                                         6394, 33.65222930908203, 87.98970794677734
82, -3280.907588362694, 2, 71.2816325010499, 145, 6539,                                         6539, 32.818634033203125, 89.94158172607422
83, -2396.652341246605, 2, 16.733741001051385, 34, 6573,                                         6573, 32.17457580566406, 90.97871398925781
84, 2227.780709028244, 1, 27.57243112300057, 56, 6629,                                         6629, 31.60183334350586, 90.55924224853516
85, 2201.6561689972878, 1, 29.516596886969637, 60, 6689,                                         6689, 35.218727111816406, 90.65798950195312
86, 2032.3084810227156, 1, 36.87530883104773, 75, 6764,                                         6764, 33.8303337097168, 92.09717559814453
87, -2760.1419899463654, 2, 42.38635267497739, 86, 6850,                                         6850, 34.136722564697266, 91.50216674804688
88, -3108.9324748516083, 2, 39.82601011096267, 81, 6931,                                         6931, 32.94216537475586, 92.53315734863281
89, -3329.168113231659, 2, 37.855429406045005, 77, 7008,                                         7008, 36.16946029663086, 92.7814712524414
90, 2366.779421746731, 1, 23.689142894989345, 48, 7056,                                         7056, 35.318214416503906, 93.60591888427734
91, -2889.271191596985, 2, 22.60467010299908, 46, 7102,                                         7102, 30.581340789794922, 93.76289367675781
92, -2592.423593044281, 2, 15.7273340280517, 32, 7134,                                         7134, 37.15920639038086, 94.72981262207031
93, 2213.7660509347916, 1, 36.3868722129846, 74, 7208,                                         7208, 33.78809356689453, 94.31254577636719
94, -2694.0256325155497, 2, 31.450049831997603, 64, 7272,                                         7272, 43.37194061279297, 96.39437866210938
95, 2052.4165658950806, 1, 31.96463888301514, 65, 7337,                                         7337, 26.98145294189453, 95.32857513427734
96, -2824.9710919857025, 2, 38.83985291898716, 79, 7416,                                         7416, 36.49082946777344, 97.2160415649414
